codigo;municipio;estado;pais
217;ABARE;BAHIA;BRASIL
217;ABARE;BAHIA;BRASIL
217;ABARE;BAHIA;BRASIL
865;IPIAU;BAHIA;BRASIL
865;IPIAU;BAHIA;BRASIL
865;IPIAU;BAHIA;BRASIL
177;NHAMUNDÁ;AMAZONAS;BRASIL
865;IPIAU;BAHIA;BRASIL
173;MANAUS;AMAZONAS;BRASIL
224;ALMADINA;BAHIA;BRASIL
286;CAMAMU;BAHIA;BRASIL
324;CONTENDAS DO SINCORÁ;BAHIA;BRASIL
324;CONTENDAS DO SINCORÁ;BAHIA;BRASIL
324;CONTENDAS DO SINCORÁ;BAHIA;BRASIL
253;BARREIRAS;BAHIA;BRASIL
179;NOVO AIRAO;AMAZONAS;BRASIL
253;BARREIRAS;BAHIA;BRASIL
200;CALCOENE;AMAPA;BRASIL
324;CONTENDAS DO SINCORÁ;BAHIA;BRASIL
324;CONTENDAS DO SINCORÁ;BAHIA;BRASIL
324;CONTENDAS DO SINCORÁ;BAHIA;BRASIL
179;NOVO AIRAO;AMAZONAS;BRASIL
865;IPIAU;BAHIA;BRASIL
865;IPIAU;BAHIA;BRASIL
865;IPIAU;BAHIA;BRASIL
865;IPIAU;BAHIA;BRASIL
865;IPIAU;BAHIA;BRASIL
865;IPIAU;BAHIA;BRASIL
865;IPIAU;BAHIA;BRASIL
865;IPIAU;BAHIA;BRASIL
242;ARATACA;BAHIA;BRASIL
229;ANDARAI;BAHIA;BRASIL
